Date,GN,SP 500
12/28/2021,"405,8","4696,56"
12/27/2021,"411,6","4649,23"
12/23/2021,"401,3","4568,02"
12/22/2021,"400,3","4620,64"
12/21/2021,"385,4","4668,67"
12/20/2021,"383,3","4709,85"
12/17/2021,"400,2","4634,09"
12/16/2021,"389,5","4668,97"
12/15/2021,"385,8","4712,02"
12/14/2021,"374,7","4667,45"
12/13/2021,"385,6","4701,21"
12/10/2021,385,"4686,75"
12/9/2021,"382,5","4591,67"
12/8/2021,"379,4","4538,43"
12/7/2021,"379,7","4577,1"
12/6/2021,"359,3","4513,04"
12/3/2021,"359,1",4567
12/2/2021,"370,7","4655,27"
12/1/2021,"373,4","4594,62"
11/30/2021,377,"4701,46"
11/29/2021,"385,6","4690,7"
11/26/2021,"397,1","4682,94"
11/25/2021,"398,8","4697,96"
11/24/2021,393,"4704,54"
11/23/2021,383,"4688,67"
11/22/2021,"399,1","4700,9"
11/19/2021,"407,8","4682,8"
11/18/2021,"399,5","4682,85"
11/17/2021,403,"4649,27"
11/16/2021,"397,5","4646,71"
11/15/2021,"387,3","4685,25"
11/12/2021,"397,2","4701,7"
11/11/2021,"395,2","4697,53"
11/10/2021,398,"4680,06"
11/9/2021,"406,8","4660,57"
11/8/2021,"403,9","4630,65"
11/5/2021,"400,6","4613,67"
11/4/2021,"412,7","4605,38"
11/3/2021,"413,1","4596,42"
11/2/2021,"423,6","4551,68"
11/1/2021,"411,6","4574,79"
10/29/2021,"390,5","4566,48"
10/28/2021,"425,8","4544,9"
10/27/2021,"422,7","4549,78"
10/26/2021,423,"4536,19"
10/25/2021,"426,1","4519,63"
10/22/2021,"421,4","4486,46"
10/21/2021,"416,6","4471,37"
10/20/2021,"420,2","4438,26"
10/19/2021,"416,2","4363,8"
10/18/2021,"409,2","4350,65"
10/15/2021,"413,8","4361,19"
10/14/2021,"411,4","4391,34"
10/13/2021,"414,3","4399,76"
10/12/2021,415,"4363,55"
10/11/2021,"414,1","4345,72"
10/8/2021,420,"4300,46"
10/7/2021,"429,2","4357,04"
10/6/2021,"432,2","4307,54"
10/5/2021,"406,4","4359,46"
10/4/2021,"437,2","4352,63"
10/1/2021,"446,6","4443,11"
9/30/2021,"445,1","4455,48"
9/29/2021,"447,5","4448,98"
9/28/2021,"446,2","4395,64"
9/27/2021,"465,1","4354,19"
9/24/2021,"474,2","4357,73"
9/23/2021,"483,3","4432,99"
9/22/2021,"480,8","4473,75"
9/21/2021,"484,6","4480,7"
9/20/2021,"474,9","4443,05"
9/17/2021,485,"4468,73"
9/16/2021,"480,4","4458,58"
9/15/2021,"475,1","4493,28"
9/14/2021,"478,5","4514,07"
9/13/2021,"470,2","4520,03"
9/10/2021,480,"4535,43"
9/9/2021,"491,4","4536,95"
9/8/2021,"499,5","4524,09"
9/7/2021,496,"4522,68"
9/6/2021,"493,7","4528,79"
9/3/2021,487,"4509,37"
9/2/2021,"487,4",4470
9/1/2021,480,"4496,19"
8/31/2021,"473,9","4486,23"
8/30/2021,"479,9","4479,53"
8/27/2021,"475,4","4441,67"
8/26/2021,467,"4405,8"
8/25/2021,"467,1","4400,27"
8/24/2021,465,"4448,08"
8/23/2021,478,"4479,71"
8/20/2021,"468,3",4468
8/19/2021,"473,5","4460,83"
8/18/2021,540,"4447,7"
8/17/2021,533,"4436,75"
8/16/2021,"518,8","4432,35"
8/13/2021,524,"4436,52"
8/12/2021,"528,8","4429,1"
8/11/2021,"549,2","4402,66"
8/10/2021,"550,8","4423,15"
8/9/2021,556,"4387,16"
8/6/2021,559,"4395,26"
8/5/2021,"563,8","4419,15"
8/4/2021,"568,4","4400,64"
8/3/2021,"566,6","4401,46"
8/2/2021,"552,8","4422,3"
7/30/2021,"549,6","4411,79"
7/29/2021,"551,4","4367,48"
7/28/2021,565,"4358,69"
7/27/2021,"572,6","4323,06"
7/26/2021,"574,4","4258,49"
7/23/2021,"581,6","4327,16"
7/22/2021,"577,6","4360,03"
7/21/2021,"565,8","4374,3"
7/20/2021,556,"4369,21"
7/19/2021,"562,6","4384,63"
7/16/2021,"566,2","4369,55"
7/15/2021,"563,6","4320,82"
7/14/2021,575,"4358,13"
7/13/2021,"573,4","4343,54"
7/12/2021,"568,2","4352,34"
7/9/2021,"551,4","4319,94"
7/8/2021,"582,6","4297,5"
7/7/2021,"586,2","4291,8"
7/6/2021,570,"4290,61"
7/5/2021,562,"4280,7"
7/2/2021,"561,2","4266,49"
7/1/2021,"556,4","4241,84"
6/30/2021,"547,8","4246,44"
6/29/2021,"556,8","4224,79"
6/28/2021,"556,2","4166,45"
6/25/2021,"545,6","4221,86"
6/24/2021,"546,6","4223,7"
6/23/2021,"538,8","4246,59"
6/22/2021,"550,8","4255,15"
6/21/2021,536,"4247,44"
6/18/2021,"543,8","4239,18"
6/17/2021,"539,6","4219,55"
6/16/2021,"534,4","4227,26"
6/15/2021,"534,6","4226,52"
6/14/2021,"521,2","4229,89"
6/11/2021,516,"4192,85"
6/10/2021,"520,4","4208,12"
6/9/2021,"529,8","4202,04"
6/8/2021,"515,4","4204,11"
6/7/2021,"507,2","4200,88"
6/4/2021,"505,8","4195,99"
6/3/2021,"500,4","4188,13"
6/2/2021,"506,8","4197,05"
6/1/2021,520,"4155,86"
5/31/2021,517,"4159,12"
5/28/2021,519,"4115,68"
5/27/2021,512,"4127,83"
5/26/2021,520,"4163,29"
5/25/2021,"514,8","4173,85"
5/21/2021,515,"4112,5"
5/20/2021,"503,6","4063,04"
5/19/2021,"491,4","4152,1"
5/18/2021,"496,9","4188,43"
5/17/2021,"490,1","4232,6"
5/12/2021,"475,1","4201,62"
5/11/2021,"486,9","4167,59"
5/10/2021,504,"4164,66"
5/7/2021,520,"4192,66"
5/6/2021,"505,8","4181,17"
5/5/2021,"543,2","4211,47"
5/4/2021,"541,4","4183,18"
5/3/2021,"566,2","4186,72"
4/29/2021,"558,4","4187,62"
4/28/2021,"558,2","4180,17"
4/27/2021,"566,8","4134,98"
4/26/2021,"563,6","4173,42"
4/23/2021,"559,6","4134,94"
4/22/2021,"554,8","4163,26"
4/21/2021,541,"4185,47"
4/20/2021,"531,4","4170,42"
4/19/2021,535,"4124,66"
4/16/2021,"545,2","4141,59"
4/15/2021,"542,8","4127,99"
4/14/2021,"538,8","4128,8"
4/13/2021,532,"4097,17"
4/12/2021,"515,8","4079,95"
4/9/2021,"525,2","4073,94"
4/8/2021,"517,8","4077,91"
4/7/2021,"506,6","4019,87"
4/6/2021,514,"3972,89"
